date      ,team,rank             ,players
2022-01-03,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-01-03,2   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-01-03,3   ,Vitality         ,"['apEX', 'ZywOo', 'misutaaa', 'Kyojin']"
2022-01-03,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'AMANEK', 'nexa']"
2022-01-03,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-01-03,6   ,Ninjas in Pyjamas,"['device', 'es3tag', 'REZ', 'hampus', 'Plopski']"
2022-01-03,7   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-01-03,8   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']"
2022-01-03,9   ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-01-03,10  ,FURIA            ,"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']"
2022-01-03,11  ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-01-03,12  ,fnatic           ,"['KRIMZ', 'ALEX', 'smooya', 'Brollan', 'mezii']"
2022-01-03,13  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-01-03,14  ,ENCE             ,"['Snappi', 'doto', 'dycha', 'hades', 'Spinx']"
2022-01-03,15  ,GODSENT          ,"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']"
2022-01-03,16  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'k1to', 'faveN']"
2022-01-03,17  ,OG               ,"['valde', 'Aleksib', 'niko', 'mantuu', 'flameZ']"
2022-01-03,18  ,MOUZ             ,"['dexter', 'frozen', 'torzsi', 'Bymas']"
2022-01-03,19  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-01-03,20  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-01-03,21  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-01-03,22  ,Extra Salt       ,"['MarKE', 'JT', 'floppy', 'FaNg']"
2022-01-03,23  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-01-03,24  ,BLINK            ,"['rigoN', 'SENER1', 'juanflatroo', 'sinnopsyy', 'gxx-']"
2022-01-03,25  ,Eternal Fire     ,"['XANTARES', 'woxic', 'Calyx', 'imoRR', 'xfl0ud']"
2022-01-03,26  ,Sprout           ,"['raalz', 'Spiidi', 'slaxz-']"
2022-01-03,27  ,DBL PONEY        ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-01-03,28  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-01-03,29  ,paiN             ,"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']"
2022-01-03,30  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
